ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
1;17 июня 1885 г.;1885-06-17;По описи № 118/ 185;
2;2 августа 1885 г.;1885-08-02;По описи № 118/ 185;
3;1884 г.;1884;Форма № 23;
4;1884 г.;1884;ЧАСТНАЯ ОПИСЬ бумагам, заключающимся в деле № 118 № по порядку Наименование бумаг На скольких листах;
5;1884 год;1884;4 Его Императорскому Величеству Исправляющего должность;
6;17 июня 1885 года;1885-06-17;;
7;1884 год;1884;5 ВСЕПОДДАННЕЙШИЙ ОТЧЕТ начальника енисейской губернии за;
8;1884 г.;1884;5 ВСЕПОДДАННЕЙШИЙ ОТЧЕТ начальника енисейской губернии за;
9;1 января 1885 г.;1885-01-01;6 На золотых приисках было рабочих 11 962, более предшествовавшего года на 410 чел. Золота добыто 32;
10;1882 г.;1882;7 Из эпидемических болезней по степени развития и числу жертв первое место занимали дифтерит и натур;
11;1884 г.;1884;Донесение С представлением копии отчета и обзора за;
12;7 июня 1885 г.;1885-06-07;Донесение С представлением копии отчета и обзора за;
13;1884 г.;1884;Донесение С представлением копии отчета и обзора за;
14;1884 г.;1884;Донесение С представлением копии отчета и обзора за;
15;1884 г.;1884;Донесение С представлением копии отчета и обзора за;
16;1884 г.;1884;9 По одному экземпляру обзора за;
17;11 мая 1885 г.;1885-05-11;10 М. В. Д. ЕНИСЕЙСКИЙ ГУБЕРНАТОР по ОБЩЕМУ ГУБЕРНСКОМУ УПРАВЛЕНИЮ Отделение 3 Стол 3;
18;24 июля 1885 г.;1885-07-24;10 М. В. Д. ЕНИСЕЙСКИЙ ГУБЕРНАТОР по ОБЩЕМУ ГУБЕРНСКОМУ УПРАВЛЕНИЮ Отделение 3 Стол 3;
19;1884 г.;1884;10 М. В. Д. ЕНИСЕЙСКИЙ ГУБЕРНАТОР по ОБЩЕМУ ГУБЕРНСКОМУ УПРАВЛЕНИЮ Отделение 3 Стол 3;
20;1884 г.;1884;10 М. В. Д. ЕНИСЕЙСКИЙ ГУБЕРНАТОР по ОБЩЕМУ ГУБЕРНСКОМУ УПРАВЛЕНИЮ Отделение 3 Стол 3;
21;1884 г.;1884;11 В;
22;11 мая 1885 г.;1885-05-11;11 В;
23;1885 г.;1885;11 В;
24;7 июля 1885 года;1885-07-07;11 В;
25;26 июня 1885 г.;1885-06-26;13 № 218;
26;26 июня 1885 г.;1885-06-26;13 № 218;
27;7 декабря 1879 г.;1879-12-07;13 № 218;
28;1884 г.;1884;13 № 218;
29;1884 г.;1884;13 № 218;
30;1885 год;1885;15 ОБЗОР ЕНИСЕЙСКОЙ ГУБЕРНИИГУБЕРНИИ ЗА 1884 ГОД Приложение ко всеподданнейшему отчету КРАСНОЯРСК ТИ;
31;25 августа 1883 г.;1883-08-25;23 700 верст и вливается в Тазовскую губу. Кроме означенных рек, губернию орошают еще реки системы О;
32;20 мая 1884 г.;1884-05-20;23 700 верст и вливается в Тазовскую губу. Кроме означенных рек, губернию орошают еще реки системы О;
33;1884 г.;1884;"24 б) на своем содержании — работнику с лошадью 1 руб. 5 коп., пешему 70 коп. и работнице 45 коп.; в";
34;1 января 1885 г.;1885-01-01;26 Б. Обеспечение народного продовольствия К;
35;22 марта 1884 г.;1884-03-22;26 Б. Обеспечение народного продовольствия К;
36;1884 г.;1884;26 Б. Обеспечение народного продовольствия К;
37;1 января 1885 г.;1885-01-01;27 состоят в ссуде и недоимке и таким образом к;
38;1883 г.;1883;"29 и половиков 81 940 арш. на 8 069 руб.; деревянной посуды — на 1 785 руб.; саней, телег и прочего ";
39;1884 г.;1884;34 назВание заВодоВ Перекурено вина из муки, пуд. Получено Среднее число пудов, употребленных в суто;
40;1884 г.;1884;"35 годовых — 48 и полугодовых 45; на разносный торг: годовых — 61 и полугодовых 19; на мещанские про";
41;1 января 1885 г.;1885-01-01;"35 годовых — 48 и полугодовых 45; на разносный торг: годовых — 61 и полугодовых 19; на мещанские про";
42;1884 г.;1884;39 II. ПОДАТИ И ПОВИННОСТИ (Приложением к этой статье служат две ведомости за № 4.) А. Окладные сбор;
43;1 января 1885 г.;1885-01-01;39 II. ПОДАТИ И ПОВИННОСТИ (Приложением к этой статье служат две ведомости за № 4.) А. Окладные сбор;
44;1884 г.;1884;39 II. ПОДАТИ И ПОВИННОСТИ (Приложением к этой статье служат две ведомости за № 4.) А. Окладные сбор;
45;1 января 1885 г.;1885-01-01;39 II. ПОДАТИ И ПОВИННОСТИ (Приложением к этой статье служат две ведомости за № 4.) А. Окладные сбор;
46;1884 г.;1884;39 II. ПОДАТИ И ПОВИННОСТИ (Приложением к этой статье служат две ведомости за № 4.) А. Окладные сбор;
47;1 января 1885 г.;1885-01-01;39 II. ПОДАТИ И ПОВИННОСТИ (Приложением к этой статье служат две ведомости за № 4.) А. Окладные сбор;
48;1 января 1885 г.;1885-01-01;39 II. ПОДАТИ И ПОВИННОСТИ (Приложением к этой статье служат две ведомости за № 4.) А. Окладные сбор;
49;1885 г.;1885;40 купцах и мещанах — 26 063 руб. 5 ¾ коп., поселенцах — 215 971 руб. 67¾ коп. и других — 10 734 руб;
50;1883 г.;1883;40 купцах и мещанах — 26 063 руб. 5 ¾ коп., поселенцах — 215 971 руб. 67¾ коп. и других — 10 734 руб;
51;1885 г.;1885;40 купцах и мещанах — 26 063 руб. 5 ¾ коп., поселенцах — 215 971 руб. 67¾ коп. и других — 10 734 руб;
52;1876 г.;1876;40 купцах и мещанах — 26 063 руб. 5 ¾ коп., поселенцах — 215 971 руб. 67¾ коп. и других — 10 734 руб;
53;1884 г.;1884;"41 управлений и другие городские расходы — 44 503 руб. 2¾ коп., итого 184 307 руб. 39¼ коп.; и 3) вн";
54;1884 г.;1884;"41 управлений и другие городские расходы — 44 503 руб. 2¾ коп., итого 184 307 руб. 39¼ коп.; и 3) вн";
55;16 мая 1870 г.;1870-05-16;"42 пострадавшим от пожара — 12 228 руб. 66 коп.; з) Щеголевых на устройство бесплатной столовой — 6 ";
56;1 января 1874 г.;1874-01-01;43 <Повинность> Число людей, занятых повинностью Число подвод Время занятий 1. Исправление дорог, мо;
57;19 октября 1884 г.;1884-10-19;"48 вблизи тюремного замка новая пересыльная казарма, деревянная двухэтажная; б) на постройку пересыл";
58;1882 г.;1882;49 были распределены по следующим трактам: а) главному сибирскому тракту, пролегающему чрез губернию;
59;1883 г.;1883;49 были распределены по следующим трактам: а) главному сибирскому тракту, пролегающему чрез губернию;
60;1884 г.;1884;49 были распределены по следующим трактам: а) главному сибирскому тракту, пролегающему чрез губернию;
61;1884 г.;1884;50 от лесных заломов, существовавших на р. Ломоватой и загружавших в 20 местах ее русло, и уборка эт;
62;1884 г.;1884;50 от лесных заломов, существовавших на р. Ломоватой и загружавших в 20 местах ее русло, и уборка эт;
63;1883 г.;1883;"51 с 1 баржей и 34 рабочими; 3) „Николай“ купца Сотникова, в 50 сил, с 3 баржами и 38 рабочими и 4) ";
64;1884 г.;1884;55 Откуда поступили Муж.Жен. При них семейств муж. жен.детей Из Александровской центральной тюрьмы 3;
65;1 января 1885 г.;1885-01-01;55 Откуда поступили Муж.Жен. При них семейств муж. жен.детей Из Александровской центральной тюрьмы 3;
66;25 марта 1882 г.;1882-03-25;56 В;
67;1 января 1884 г.;1884-01-01;57 устранялось чрез разные приспособления и поправки на счет казны и сумм тюремных отделений. Относи;
68;1884 г.;1884;57 устранялось чрез разные приспособления и поправки на счет казны и сумм тюремных отделений. Относи;
69;1884 г.;1884;57 устранялось чрез разные приспособления и поправки на счет казны и сумм тюремных отделений. Относи;
70;1 января 1885 г.;1885-01-01;57 устранялось чрез разные приспособления и поправки на счет казны и сумм тюремных отделений. Относи;
71;1884 г.;1884;57 устранялось чрез разные приспособления и поправки на счет казны и сумм тюремных отделений. Относи;
72;29 февраля 1884 г.;1884-02-29;57 устранялось чрез разные приспособления и поправки на счет казны и сумм тюремных отделений. Относи;
73;1 января 1884 г.;1884-01-01;"58 священникам, содержание церквей — 3 515 руб. 62 ¾ коп.; 3) на содержание больниц, жалованье врача";
74;1 января 1885 г.;1885-01-01;"59 в доход казны за билетные бланки для ссыльнопоселенцев — 1 200 руб.; 6) представлено в распоряжен";
75;1 января 1885 г.;1885-01-01;"59 в доход казны за билетные бланки для ссыльнопоселенцев — 1 200 руб.; 6) представлено в распоряжен";
76;1884 г.;1884;60 IV. НАРОДНОЕ ЗДРАВИЕ И ОБЩЕСТВЕННОЕ ПРИЗРЕНИЕ А. Врачи Всех врачей гражданского ведома по губерни;
77;1884 г.;1884;60 IV. НАРОДНОЕ ЗДРАВИЕ И ОБЩЕСТВЕННОЕ ПРИЗРЕНИЕ А. Врачи Всех врачей гражданского ведома по губерни;
78;1884 г.;1884;61 Больных Умерло об. пола об. пола;
79;1885 г.;1885;61 Больных Умерло об. пола об. пола;
80;1876 г.;1876;62 Повивальная школа с родовспомогательным отделением и приютом для детей существует в;
81;1 января 1885 г.;1885-01-01;Оставалось В приходе В расходе В остатке а) Принадлежащего собственно приказу 155 067 руб. 22½ коп. ;
82;4 апреля 1866 г.;1866-04-04;Оставалось В приходе В расходе В остатке а) Принадлежащего собственно приказу 155 067 руб. 22½ коп. ;
83;1884 г.;1884;Оставалось В приходе В расходе В остатке а) Принадлежащего собственно приказу 155 067 руб. 22½ коп. ;
84;24 мая 1874 г.;1874-05-24;"64 и сапожному в мастерских при самом заведении и наукам — в уездном и приходском училищах; и 2)";
85;1 января 1885 г.;1885-01-01;"64 и сапожному в мастерских при самом заведении и наукам — в уездном и приходском училищах; и 2)";
86;30 апреля 1885 г.;1885-04-30;92 Стат. ком. № 16 МИНИСТЕРСТВО ВОЕННОЕ и;
87;1885 г.;1885;93 И того в этом деле пятьдесят три (53) листа. И.;
88;1884 г.;1884;93 И того в этом деле пятьдесят три (53) листа. И.;
